country,xg,ga
mex,3.73,1.51
sk,4.11,2.51
sa,2.61,3.38
cze,2.37,5.42
sui,6.37,2.49
can,7.5,2.3
bih,1.87,4.07
qat,1.6,8.47
bra,7.35,2.64
mar,6.13,3.0
sco,2.61,6.37
hai,2.5,6.57
tur,6.53,3.63
usa,4.62,3.89
aus,2.08,2.68
par,1.1,4.14
ger,6.76,2.9
ecu,5.12,2.67
ivo,4.05,3.41
cur,1.41,8.36
ned,5.24,2.22
jap,3.92,1.48
swe,2.98,4.09
tun,0.95,5.3
bel,6.79,1.94
ira,4.09,3.87
egy,3.79,4.56
nzl,2.72,7.02
esp,5.26,0.54
uru,4.24,2.4
cpv,2.48,4.81
ksa,1.18,5.41
fra,5.96,2.86
nor,6.42,4.02
sen,5.25,4.12
irq,1.57,8.2
arg,5.75,1.61
alg,3.83,3.33
aut,3.66,4.44
jor,1.86,5.71
col,4.29,2.46
drc,3.42,1.84
por,4.19,2.81
uzb,1.61,6.39
eng,6.12,1.53
gha,2.06,2.51
cro,2.77,4.39
pan,1.94,4.46
