uo   group team  mp  w  d  l  gf  ga  gd  pts
0      A  mex   3  3  0  0   4   0   4    9
1      A   sk   3  2  0  1   3   2   1    6
2      B  sui   3  2  1  0   6   2   4    7
3      B  can   3  1  1  1   7   2   5    4
4      C  bra   3  2  1  0   5   1   4    7
5      C  mar   3  2  1  0   3   1   2    7
6      D  usa   3  3  0  0   7   1   6    9
7      D  aus   3  1  1  1   2   2   0    4
8      E  ger   3  3  0  0  10   2   8    9
9      E  ivo   3  2  0  1   3   2   1    6
10     F  ned   3  2  1  0   8   3   5    7
11     F  jap   3  2  1  0   7   2   5    7
12     G  egy   3  2  1  0   5   2   3    7
13     G  bel   3  1  2  0   2   1   1    5
14     H  esp   3  2  1  0   5   0   5    7
15     H  cpv   3  1  2  0   3   2   1    5
16     I  fra   3  3  0  0   7   1   6    9
17     I  nor   3  2  0  1   7   4   3    6
18     J  arg   3  3  0  0   6   0   6    9
19     J  aut   3  1  1  1   3   3   0    4
20     K  por   3  2  1  0   7   1   6    7
21     K  col   3  2  0  1   4   2   2    6
22     L  eng   3  2  1  0   5   2   3    7
23     L  cro   3  2  0  1   4   4   0    6
24     K  drc   3  1  1  1   2   2   0    4
25     L  gha   3  1  1  1   1   1   0    4
26     B  bih   3  1  1  1   4   5  -2    4
27     D  par   3  1  1  1   2   4  -2    4
28     J  alg   3  1  1  1   2   4  -2    4
29     F  swe   3  1  0  2   6   7  -1    3
30     C  sco   3  1  0  2   1   2  -1    3
31     I  sen   3  1  0  2   4   6  -2    3

xg   group team  mp  w  d  l  gf  ga  gd  pts
0      A  mex   3  3  0  0   4   0   4    9
1      A   sk   3  2  0  1   3   2   1    6
2      B  can   3  2  1  0   8   1   7    7
3      B  sui   3  1  1  1   5   3   2    4
4      C  bra   3  2  1  0   5   1   4    7
5      C  mar   3  2  1  0   3   1   2    7
6      D  usa   3  3  0  0   7   1   6    9
7      D  aus   3  2  0  1   3   2   1    6
8      E  ger   3  3  0  0  10   2   8    9
9      E  ivo   3  2  0  1   3   2   1    6
10     F  ned   3  2  1  0   8   3   5    7
11     F  jap   3  2  1  0   7   2   5    7
12     G  egy   3  2  1  0   5   2   3    7
13     G  bel   3  1  2  0   2   1   1    5
14     H  esp   3  2  1  0   5   0   5    7
15     H  cpv   3  0  3  0   2   2   0    3
16     I  fra   3  3  0  0   7   1   6    9
17     I  nor   3  2  0  1   7   4   3    6
18     J  arg   3  3  0  0   6   0   6    9
19     J  aut   3  2  0  1   4   3   1    6
20     K  por   3  2  1  0   7   1   6    7
21     K  col   3  2  0  1   4   2   2    6
22     L  eng   3  2  1  0   5   2   3    7
23     L  gha   3  2  1  0   2   0   2    7
24     B  bih   3  1  1  1   4   5  -2    4
25     F  swe   3  1  0  2   6   7  -1    3
26     C  sco   3  1  0  2   1   2  -1    3
27     L  cro   3  1  0  2   3   5  -2    3
28     D  par   3  1  0  2   2   5  -3    3
29     J  alg   3  1  0  2   2   5  -3    3
30     I  irq   3  1  0  2   2   7  -5    3
31     H  uru   3  0  2  1   3   4  -1    2
