group,teama,teamb,home,draw,away
A,mex,cze,10/11,3,13/5
A,sk,sa,6/10,29/10,19/4
B,can,sui,21/10,21/10,29/20
B,bih,qat,4/11,9/2,6
C,bra,sco,1/3,4,8
C,mar,hai,2/11,13/2,15
D,usa,tur,19/20,31/10,12/5
D,aus,par,29/10,23/20,15/8
E,ger,ecu,10/11,4,5
E,cur,ivo,17,15/2,2/13
F,ned,tun,1/8,7,22/1
F,jap,swe,9/10,12/5,10/3
G,egy,ira,31/20,196/100,14/5
G,bel,nzl,1/5,13/2,14
H,esp,uru,1/2,10/3,13/2
H,ksa,cpv,2.85,3.35,2.37
I,fra,nor,4/5,10/3,4
I,sen,irq,1/4,11/2,12/1
J,arg,jor,2/9,7,16
J,alg,aut,3,7/5,2
K,col,por,16/5,11/4,20/21
K,uzb,drc,16/5,3,20/23
L,eng,pan,2/11,7,16
L,cro,gha,4/5,13/5,24/5
