group,team,mp,w,d,l,gf,ga,gd,pts
A,mex,2,2,0,0,3,0,3,6
A,sk,2,1,0,1,2,2,0,3
A,cze,2,0,1,1,2,3,-1,1
A,sa,2,0,1,1,1,3,-2,1
B,can,2,1,1,0,7,1,6,4
B,sui,2,1,1,0,5,2,3,4
B,bih,2,0,1,1,3,5,-3,1
B,qat,2,0,1,1,1,7,-6,1
C,bra,2,1,1,0,4,1,3,4	
C,mar,2,1,1,0,2,1,1,4	
C,sco,2,1,0,1,1,1,0,3	
C,hai,2,0,0,2,0,4,-4,0	
D,usa,2,2,0,0,6,1,5,6	
D,aus,2,1,0,1,2,2,0,3	
D,par,2,1,0,1,2,4,-2,3	
D,tur,2,0,0,2,0,3,-3,0
E,ger,2,2,0,0,9,2,7,6	
E,ivo,2,1,0,1,2,2,0,3	
E,ecu,2,0,1,1,0,1,-1,1	
E,cur,2,0,1,1,1,7,-6,1
F,ned,2,1,1,0,7,3,4,4	
F,jap,2,1,1,0,6,2,4,4	
F,swe,2,1,0,1,6,6,0,3	
F,tun,2,0,0,2,1,9,-8,0	
G,egy,2,1,1,0,4,2,2,4	
G,ira,2,0,2,0,2,2,0,2	
G,bel,2,0,2,0,1,1,0,2	
G,nzl,2,0,1,1,3,5,-2,1
H,esp,2,1,1,0,4,0,4,4	
H,uru,2,0,2,0,3,3,0,2	
H,cpv,2,0,2,0,2,2,0,2	
H,ksa,2,0,1,1,1,5,-4,1
I,fra,2,2,0,0,6,1,5,6	
I,nor,2,2,0,0,7,3,4,6	
I,sen,2,0,0,2,3,6,-3,0	
I,irq,2,0,0,2,1,7,-6,0
J,arg,2,2,0,0,5,0,5,6	
J,aut,2,1,0,1,3,3,0,3	
J,alg,2,1,0,1,2,4,-2,3	
J,jor,2,0,0,2,2,5,-3,0
K,col,2,2,0,0,4,1,3,6	
K,por,2,1,1,0,6,1,5,4	
K,drc,2,0,1,1,1,2,-1,1	
K,uzb,2,0,0,2,1,8,-7,0
L,eng,2,1,1,0,4,2,2,4	
L,gha,2,1,1,0,1,0,1,4	
L,cro,2,1,0,1,3,4,-1,3	
L,pan,2,0,0,2,0,2,-2,0	
